,index,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal,rank_num_homophones
26611,39133,rocker,0.48,2,rQk@R,N,2,5,2,False,0,-5.056785066570174,5.056785066570174,28113.0
26612,39134,rockery,0.0,2,rQk@rI,N,3,6,3,False,0,-6.107518825740142,6.107518825740142,28114.0
26613,39135,rocket,1.15,1,rQkIt,N,2,5,2,False,1,-5.065794320262125,5.065794320262125,4223.0
26614,39139,rocketry,0.0,2,rQkItrI,N,3,7,3,False,0,-7.36385835553372,7.36385835553372,28115.0
26615,39141,rockiness,0.0,2,rQkInIs,N,3,7,3,False,0,-5.975851445493182,5.975851445493182,28116.0
26616,39145,rocks,0.48,1,rQks,N,1,4,1,False,0,-4.451957055517397,4.451957055517397,28117.0
26617,39148,rocky,0.95,2,rQkI,A,2,4,2,False,0,-5.1644934261184225,5.1644934261184225,28118.0
26618,39149,rococo,0.3,0,r5k5k5,A,3,6,3,False,0,-8.547646484134669,8.547646484134669,28119.0
26619,39150,rod,1.57,1,rQd,N,1,3,1,False,0,-4.7749705074669135,4.7749705074669135,28120.0
26620,39151,rodent,0.3,1,r5d@nt,N,2,6,2,False,0,-6.343981588362663,6.343981588362663,28121.0
26621,39152,rodeo,0.0,1,r5d15,N,3,5,3,False,0,-5.459477052668141,5.459477052668141,28122.0
26622,39153,rodomontade,0.0,0,rQd@mQnt1d,N,4,10,4,False,0,-13.407058306859561,13.407058306859561,28123.0
26623,39154,roe,0.3,1,r5,N,1,2,1,False,3,-4.543701133373075,4.543701133373075,214.0
26624,39155,roebuck,0.0,2,r5bVk,N,2,5,2,False,0,-6.171840249630188,6.171840249630188,28124.0
26625,39157,roentgen,0.0,1,rQntj@n,N,2,7,2,False,1,-8.03724558975141,8.03724558975141,4224.0
26626,39159,rogation,0.0,0,r5g1SH,N,3,6,2,False,0,-4.820785575893777,4.820785575893777,28125.0
26627,39160,roger,0.0,0,rQ_@R,I,2,5,2,False,1,-5.318487195436279,5.318487195436279,4225.0
26628,39162,rogue,0.48,1,r5g,N,1,3,1,False,1,-4.704325995764235,4.704325995764235,4226.0
26629,39165,roguery,0.0,2,r5g@rI,N,3,6,3,False,0,-6.34611319179879,6.34611319179879,28126.0
26630,39166,roguish,0.0,2,r5gIS,A,2,5,2,False,0,-5.667369756280293,5.667369756280293,28127.0
26631,39167,roguishly,0.0,2,r5gISlI,ADV,3,7,3,False,0,-5.752919104755512,5.752919104755512,28128.0
26632,39168,roguishness,0.0,2,r5gISnIs,N,3,8,3,False,0,-5.801917233386445,5.801917233386445,28129.0
26633,39169,roisterer,0.0,0,r4st@r@R,N,3,8,3,False,0,-7.659546023200765,7.659546023200765,28130.0
26634,39170,role,2.13,1,r5l,N,1,3,1,False,2,-4.4346638893730175,4.4346638893730175,730.0
26635,39178,roller,0.7,2,r5l@R,N,2,5,2,False,0,-5.473055694031332,5.473055694031332,28131.0
26636,39186,rollick,0.0,1,rQlIk,V,2,5,2,False,0,-5.893350708973435,5.893350708973435,28132.0
26637,39187,rollicking,0.0,1,rQlIkIN,A,3,7,3,False,0,-7.977948353809222,7.977948353809222,28133.0
26638,39189,rolling,0.78,1,r5lIN,A,2,5,2,False,0,-5.750446871765603,5.750446871765603,28134.0
26639,39198,rolls,0.0,1,r5lz,N,1,4,1,False,0,-5.7626844884023924,5.7626844884023924,28135.0
26640,39204,Roman,0.95,1,r5m@n,N,2,5,2,False,2,-5.289321659993678,5.289321659993678,731.0
26641,39209,romance,1.08,1,r5m{ns,N,2,6,2,False,2,-6.756509960916829,6.756509960916829,732.0
26642,39212,Romanesque,0.3,2,r5m@nEsk,N,3,8,3,False,0,-9.752287271736028,9.752287271736028,28136.0
26643,39213,Romania,0.3,0,rum1nj@,N,3,7,3,False,0,-6.200172547412935,6.200172547412935,28137.0
26644,39214,Romanian,0.0,1,rum1nj@n,N,3,8,3,False,1,-6.1604366168723175,6.1604366168723175,4227.0
26645,39217,romantic,0.48,1,r5m{ntIk,N,3,8,3,False,1,-6.865733440372305,6.865733440372305,4228.0
26646,39219,romantically,0.0,2,r5m{ntIk@lI,ADV,5,11,5,False,0,-7.52662300999461,7.52662300999461,28138.0
26647,39220,romanticism,0.48,2,r5m{ntIsIz@m,N,5,12,5,False,0,-8.642646579157978,8.642646579157978,28139.0
26648,39221,romanticist,0.0,2,r5m{ntIsIst,N,4,11,4,False,0,-9.138743906446992,9.138743906446992,28140.0
26649,39222,romanticize,0.0,2,r5m{ntIs2z,V,4,10,4,False,0,-8.972652203156114,8.972652203156114,28141.0
26650,39223,Romany,0.0,1,rQm@nI,N,3,6,3,False,1,-6.879123886348511,6.879123886348511,4229.0
26651,39226,Romish,0.0,2,r5mIS,A,2,5,2,False,0,-6.798019639424614,6.798019639424614,28142.0
26652,39227,romp,0.0,1,rQmp,N,1,4,1,False,1,-5.444795675363407,5.444795675363407,4230.0
26653,39229,romper,0.0,2,rQmp@R,N,2,6,2,False,0,-5.921288304111294,5.921288304111294,28143.0
26654,39230,rompers,0.0,1,rQmp@z,N,2,6,2,False,0,-6.940240133187851,6.940240133187851,28144.0
26655,39232,Ron,0.78,0,rQn,N,1,3,1,False,0,-4.359101172703525,4.359101172703525,28145.0
26656,39233,rondeau,0.0,1,rQnd5,N,2,5,2,False,1,-6.7569060509512315,6.7569060509512315,4231.0
26657,39234,rondel,0.0,1,rQndP,N,2,5,1,False,0,-6.680295192056465,6.680295192056465,28146.0
26658,39236,roneo,0.0,1,r5nI5,N,3,5,3,False,2,-6.8467429747733775,6.8467429747733775,733.0
26659,39239,rood,0.0,1,rud,N,1,3,1,False,1,-4.444199329060113,4.444199329060113,4232.0
26660,39240,roodscreen,0.0,2,rudskrin,N,2,8,2,False,0,-8.229045442948859,8.229045442948859,28147.0
26661,39242,roof,1.75,1,ruf,N,1,3,1,False,1,-3.908843481757159,3.908843481757159,4233.0
26662,39246,roofing,0.0,1,rufIN,N,2,5,2,False,0,-6.451435662189866,6.451435662189866,28148.0
26663,39247,roofless,0.0,2,ruflIs,A,2,6,2,False,0,-6.973062630202766,6.973062630202766,28149.0
26664,39250,rooftree,0.0,2,ruftri,N,2,6,2,False,0,-6.6977018849491,6.6977018849491,28150.0
26665,39251,rook,0.3,1,rUk,N,1,3,1,False,1,-4.538607451287096,4.538607451287096,4234.0
26666,39253,rookery,0.0,2,rUk@rI,N,3,6,3,False,0,-6.63842028754924,6.63842028754924,28151.0
26667,39254,rookie,0.0,0,rUkI,N,2,4,2,False,0,-4.909182738135272,4.909182738135272,28152.0
26668,39257,roomer,0.0,2,rum@R,N,2,5,2,False,2,-4.75703153326868,4.75703153326868,734.0
26669,39258,roomful,0.0,2,rumfUl,N,2,6,2,False,0,-5.2117994035246165,5.2117994035246165,28153.0
26670,39259,roomily,0.0,2,rumIlI,ADV,3,6,3,False,0,-5.47536796583987,5.47536796583987,28154.0
26671,39260,roominess,0.0,2,rumInIs,N,3,7,3,False,0,-4.957093996564407,4.957093996564407,28155.0
26672,39262,roommate,0.48,2,rUmm1t,N,2,6,2,False,0,-6.932627064948668,6.932627064948668,28156.0
26673,39263,rooms,1.34,1,rumz,N,1,4,1,False,0,-4.840706973470775,4.840706973470775,28157.0
26674,39265,roomy,0.0,2,rumI,A,2,4,2,False,0,-5.154666418735249,5.154666418735249,28158.0
26675,39266,roost,0.0,1,rust,N,1,4,1,False,1,-5.937158473132626,5.937158473132626,4235.0
26676,39268,rooster,0.0,2,rust@R,N,2,6,2,False,0,-6.793558893907118,6.793558893907118,28159.0
26677,39269,root,1.68,1,rut,N,1,3,1,False,3,-4.242884760380223,4.242884760380223,215.0
26678,39273,rooted,0.9,1,rutId,A,2,5,2,False,0,-5.461807657319127,5.461807657319127,28160.0
26679,39275,rootle,0.0,2,rutP,V,2,4,1,False,0,-4.984226664297533,4.984226664297533,28161.0
26680,39276,rootless,0.0,2,rutlIs,A,2,6,2,False,0,-5.910210165351008,5.910210165351008,28162.0
26681,39277,rootlessness,0.0,2,rutlIsnIs,N,3,9,3,False,0,-6.485782498179143,6.485782498179143,28163.0
26682,39279,roots,0.85,1,ruts,N,1,4,1,False,0,-4.853113751900383,4.853113751900383,28164.0
